Port,MAILIAO,KAOHSIUNG,ULSAN,HOUSTON,PHILADELPHIA,BATON ROUGE,KALAMA,PUERTO QUETZAL,PANAMA
MAILIAO,0,102,1081,15410,13340,15328,87588,87588,15310
KAOHSIUNG,102,0,1182,15348,13277,15266,87588,87588,15248
ULSAN,1081,1182,0,16475,14403,16394,87588,87588,16375
HOUSTON,15410,15348,16475,0,2213,632,87588,87588,2108
PHILADELPHIA,13340,13277,14403,2213,0,2131,87588,87588,2222
BATON ROUGE,15328,15266,16394,632,2131,0,87588,87588,2031
KALAMA,87588,87588,87588,87588,87588,87588,0,3430,4520
PUERTO QUETZAL,87588,87588,87588,87588,87588,87588,3430,0,1094
PANAMA,15310,15248,16375,2108,2222,2031,4520,1094,0
