no,category,group,port,port_no,cargo,weight,demand,laycan_start,laycan_end,add_days,income_group,income,need,panama,initPos,initDate,is_panama,panama_fee,panama_days,,com,cargo_name,vol,pre3
0,priority,1,MAILIAO,0,TOLUENE,2000,Loading,2022/12/2,2023/1/30,0,1,800000,0,0,KAOHSIUNG,2022/12/1,1,220000,20,P1,0,,,"px,toluene,nitric"
1,priority,1,HOUSTON,0,TOLUENE,2000,discharging,,,0,2,14000000,0,0,,,,,,P2,1,px,1000,"px,toluene,cumene"
2,priority,2,KAOHSIUNG,0,TOLUENE,1000,Loading,2022/12/5,2022/12/30,0,3,5000000,0,0,,,,,,P3,2,,,"px,toluene,nitric"
3,priority,2,PHILADELPHIA,0,TOLUENE,1000,discharging,,,0,-1,14000000,1,0,,,,,,P4,3,,,"px,toluene,cumene"
4,original,-1,MAILIAO,0,PX,1000,Loading,2022/12/6,2022/12/6,0,-2,14000000,1,0,,,,,,P5,4,,,"px,toluene,cumene"
5,original,-2,ULSAN,0,PX,1000,discharging,2022/12/28,2022/12/28,0,-3,14000000,1,0,,,,,,P6,5,,,"px,toluene,nitric"
6,original,-3,KAOHSIUNG,0,PX,1000,Loading,2022/12/15,2022/12/15,0,-4,14000000,1,0,,,,,,P7,6,,,"px,toluene,nitric"
7,original,-4,HOUSTON,0,PX,1000,discharging,2023/4/30,2023/4/30,0,-5,14000000,1,0,,,,,,P8,7,,,"px,toluene,nitric"
8,original,-5,KAOHSIUNG,0,PX,3000,Loading,2022/12/17,2022/12/17,0,-6,14000000,1,0,,,,,,S1,8,,,"px,toluene,nitric"
9,original,-6,HOUSTON,0,PX,3000,discharging,2023/5/1,2023/5/1,0,-7,14000000,1,0,,,,,,S2,9,,,"px,toluene,nitric"
10,original,-7,KAOHSIUNG,0,PX,1200,Loading,2022/12/19,2022/12/19,0,-8,14000000,1,0,,,,,,S3,10,nitric,,"px,toluene,nitric"
11,original,-8,HOUSTON,0,PX,1200,discharging,2023/5/3,2023/5/3,0,-9,14000000,1,0,,,,,,S4,11,,,"px,toluene,nitric"
12,original,-9,KAOHSIUNG,0,PX,1000,Loading,2022/12/21,2022/12/21,0,-10,14000000,1,0,,,,,,S5,12,,,"px,toluene,nitric"
13,original,-10,HOUSTON,0,PX,1000,discharging,2023/5/5,2023/5/5,0,4,-10000,1,0,,,,,,S6,13,,,"px,toluene,nitric"
14,priority,3,KAOHSIUNG,0,CUMENE,1000,Loading,2022/12/5,2023/1/30,0,5,-10000,1,0,,,,,,S7,14,,,"px,toluene,nitric"
15,priority,3,KALAMA,0,CUMENE,1000,discharging,,,0,,,,,,,,,,S8,15,,,"px,toluene,cumene"
